t,l,R,eg
0.467000,0.900019,0.146545,0.453185
0.468000,0.899838,0.146850,0.453086
0.469000,0.899657,0.147156,0.452988
0.470000,0.899477,0.147461,0.452890
0.471000,0.899296,0.147766,0.452792
0.472000,0.899116,0.148071,0.452693
0.473000,0.898936,0.148376,0.452595
0.474000,0.898756,0.148681,0.452497
0.475000,0.898576,0.148986,0.452399
0.476000,0.898397,0.149291,0.452301
0.477000,0.898217,0.149596,0.452203
0.478000,0.898037,0.149901,0.452105
0.479000,0.897858,0.150206,0.452006
0.480000,0.897679,0.150510,0.451908
0.481000,0.897500,0.150815,0.451810
0.482000,0.897321,0.151120,0.451712
0.483000,0.897142,0.151424,0.451614
0.484000,0.896963,0.151729,0.451516
0.485000,0.896785,0.152033,0.451418
0.486000,0.896606,0.152338,0.451320
0.487000,0.896428,0.152642,0.451222
0.488000,0.896250,0.152946,0.451124
0.489000,0.896072,0.153250,0.451026
0.490000,0.895894,0.153555,0.450928
0.491000,0.895716,0.153859,0.450830
0.492000,0.895539,0.154163,0.450732
0.493000,0.895361,0.154467,0.450634
0.494000,0.895184,0.154771,0.450536
0.495000,0.895006,0.155075,0.450438
0.496000,0.894829,0.155378,0.450340
0.497000,0.894652,0.155682,0.450242
0.498000,0.894475,0.155986,0.450145
0.499000,0.894299,0.156290,0.450047
0.500000,0.894122,0.156593,0.449949
0.501000,0.893945,0.156897,0.449851
0.502000,0.893769,0.157200,0.449753
0.503000,0.893593,0.157504,0.449655
0.504000,0.893417,0.157807,0.449558
0.505000,0.893241,0.158111,0.449460
0.506000,0.893065,0.158414,0.449362
0.507000,0.892889,0.158717,0.449264
0.508000,0.892714,0.159020,0.449166
0.509000,0.892538,0.159323,0.449069
0.510000,0.892363,0.159626,0.448971
0.511000,0.892188,0.159929,0.448873
0.512000,0.892012,0.160232,0.448776
0.513000,0.891837,0.160535,0.448678
0.514000,0.891663,0.160838,0.448580
0.515000,0.891488,0.161141,0.448483
0.516000,0.891313,0.161444,0.448385
0.517000,0.891139,0.161746,0.448287
0.518000,0.890965,0.162049,0.448190
0.519000,0.890790,0.162351,0.448092
0.520000,0.890616,0.162654,0.447995
0.521000,0.890442,0.162956,0.447897
0.522000,0.890269,0.163259,0.447799
0.523000,0.890095,0.163561,0.447702
0.524000,0.889921,0.163863,0.447604
0.525000,0.889748,0.164166,0.447507
0.526000,0.889575,0.164468,0.447409
0.527000,0.889401,0.164770,0.447312
0.528000,0.889228,0.165072,0.447214
0.529000,0.889055,0.165374,0.447117
0.530000,0.888883,0.165676,0.447019
0.531000,0.888710,0.165978,0.446922
0.532000,0.888537,0.166279,0.446825
0.533000,0.888365,0.166581,0.446727
0.534000,0.888193,0.166883,0.446630
0.535000,0.888020,0.167185,0.446532
0.536000,0.887848,0.167486,0.446435
0.537000,0.887676,0.167788,0.446338
0.538000,0.887505,0.168089,0.446240
0.539000,0.887333,0.168391,0.446143
0.540000,0.887161,0.168692,0.446046
0.541000,0.886990,0.168993,0.445948
0.542000,0.886819,0.169294,0.445851
0.543000,0.886648,0.169596,0.445754
0.544000,0.886476,0.169897,0.445657
0.545000,0.886306,0.170198,0.445559
0.546000,0.886135,0.170499,0.445462
0.547000,0.885964,0.170800,0.445365
0.548000,0.885794,0.171100,0.445268
0.549000,0.885623,0.171401,0.445171
0.550000,0.885453,0.171702,0.445073
0.551000,0.885283,0.172003,0.444976
0.552000,0.885113,0.172303,0.444879
0.553000,0.884943,0.172604,0.444782
0.554000,0.884773,0.172904,0.444685
0.555000,0.884603,0.173205,0.444588
0.556000,0.884434,0.173505,0.444491
0.557000,0.884264,0.173806,0.444394
0.558000,0.884095,0.174106,0.444296
0.559000,0.883926,0.174406,0.444199
0.560000,0.883757,0.174706,0.444102
0.561000,0.883588,0.175006,0.444005
0.562000,0.883419,0.175306,0.443908
0.563000,0.883250,0.175606,0.443811
0.564000,0.883082,0.175906,0.443714
0.565000,0.882913,0.176206,0.443617
0.566000,0.882745,0.176506,0.443521
0.567000,0.882577,0.176806,0.443424
0.568000,0.882409,0.177105,0.443327
0.569000,0.882241,0.177405,0.443230
0.570000,0.882073,0.177704,0.443133
0.571000,0.881905,0.178004,0.443036
0.572000,0.881738,0.178303,0.442939
0.573000,0.881570,0.178603,0.442842
0.574000,0.881403,0.178902,0.442745
0.575000,0.881236,0.179201,0.442649
0.576000,0.881069,0.179500,0.442552
0.577000,0.880902,0.179800,0.442455
