t,eg
1.118000,0.324967
1.119000,0.324874
1.120000,0.324781
1.121000,0.324688
1.122000,0.324595
1.123000,0.324501
1.124000,0.324408
1.125000,0.324316
1.126000,0.324223
1.127000,0.324130
1.128000,0.324037
1.129000,0.323945
1.130000,0.323852
1.131000,0.323759
1.132000,0.323667
1.133000,0.323575
1.134000,0.323482
1.135000,0.323390
1.136000,0.323298
1.137000,0.323206
1.138000,0.323114
1.139000,0.323022
1.140000,0.322930
1.141000,0.322838
1.142000,0.322746
1.143000,0.322655
1.144000,0.322563
1.145000,0.322472
1.146000,0.322380
1.147000,0.322289
1.148000,0.322197
1.149000,0.322106
1.150000,0.322015
1.151000,0.321924
1.152000,0.321833
1.153000,0.321742
1.154000,0.321651
1.155000,0.321560
1.156000,0.321469
1.157000,0.321378
1.158000,0.321288
1.159000,0.321197
1.160000,0.321106
1.161000,0.321016
1.162000,0.320925
1.163000,0.320835
1.164000,0.320745
1.165000,0.320655
1.166000,0.320565
1.167000,0.320474
1.168000,0.320384
1.169000,0.320294
1.170000,0.320205
1.171000,0.320115
1.172000,0.320025
1.173000,0.319935
1.174000,0.319846
1.175000,0.319756
1.176000,0.319667
1.177000,0.319577
1.178000,0.319488
1.179000,0.319399
1.180000,0.319309
1.181000,0.319220
1.182000,0.319131
1.183000,0.319042
1.184000,0.318953
1.185000,0.318864
1.186000,0.318775
1.187000,0.318687
1.188000,0.318598
1.189000,0.318509
1.190000,0.318421
1.191000,0.318332
1.192000,0.318244
1.193000,0.318155
1.194000,0.318067
1.195000,0.317979
1.196000,0.317891
1.197000,0.317803
1.198000,0.317714
1.199000,0.317626
1.200000,0.317539
1.201000,0.317451
1.202000,0.317363
1.203000,0.317275
1.204000,0.317187
1.205000,0.317100
1.206000,0.317012
1.207000,0.316925
1.208000,0.316837
1.209000,0.316750
1.210000,0.316663
1.211000,0.316575
1.212000,0.316488
1.213000,0.316401
1.214000,0.316314
1.215000,0.316227
1.216000,0.316140
1.217000,0.316053
1.218000,0.315967
1.219000,0.315880
1.220000,0.315793
1.221000,0.315707
1.222000,0.315620
1.223000,0.315534
1.224000,0.315447
1.225000,0.315361
1.226000,0.315274
1.227000,0.315188
1.228000,0.315102
1.229000,0.315016
1.230000,0.314930
1.231000,0.314844
1.232000,0.314758
1.233000,0.314672
1.234000,0.314586
1.235000,0.314501
1.236000,0.314415
1.237000,0.314329
1.238000,0.314244
1.239000,0.314158
1.240000,0.314073
1.241000,0.313987
1.242000,0.313902
1.243000,0.313817
1.244000,0.313732
1.245000,0.313646
1.246000,0.313561
1.247000,0.313476
1.248000,0.313391
1.249000,0.313307
1.250000,0.313222
1.251000,0.313137
1.252000,0.313052
1.253000,0.312968
1.254000,0.312883
1.255000,0.312799
1.256000,0.312714
1.257000,0.312630
1.258000,0.312545
1.259000,0.312461
1.260000,0.312377
1.261000,0.312293
1.262000,0.312209
1.263000,0.312124
1.264000,0.312041
1.265000,0.311957
1.266000,0.311873
1.267000,0.311789
1.268000,0.311705
1.269000,0.311621
1.270000,0.311538
1.271000,0.311454
1.272000,0.311371
1.273000,0.311287
1.274000,0.311204
1.275000,0.311121
1.276000,0.311037
1.277000,0.310954
1.278000,0.310871
1.279000,0.310788
1.280000,0.310705
1.281000,0.310622
1.282000,0.310539
1.283000,0.310456
1.284000,0.310373
1.285000,0.310290
1.286000,0.310208
1.287000,0.310125
1.288000,0.310043
1.289000,0.309960
1.290000,0.309878
1.291000,0.309795
1.292000,0.309713
1.293000,0.309631
1.294000,0.309548
1.295000,0.309466
1.296000,0.309384
1.297000,0.309302
1.298000,0.309220
1.299000,0.309138
1.300000,0.309056
1.301000,0.308974
1.302000,0.308893
1.303000,0.308811
1.304000,0.308729
1.305000,0.308648
1.306000,0.308566
1.307000,0.308485
1.308000,0.308403
1.309000,0.308322
1.310000,0.308241
1.311000,0.308159
1.312000,0.308078
1.313000,0.307997
1.314000,0.307916
1.315000,0.307835
1.316000,0.307754
1.317000,0.307673
1.318000,0.307592
1.319000,0.307511
1.320000,0.307431
1.321000,0.307350
1.322000,0.307269
1.323000,0.307189
1.324000,0.307108
1.325000,0.307028
1.326000,0.306947
1.327000,0.306867
1.328000,0.306787
1.329000,0.306706
1.330000,0.306626
1.331000,0.306546
1.332000,0.306466
1.333000,0.306386
1.334000,0.306306
1.335000,0.306226
1.336000,0.306146
1.337000,0.306067
1.338000,0.305987
1.339000,0.305907
1.340000,0.305827
1.341000,0.305748
1.342000,0.305668
1.343000,0.305589
1.344000,0.305509
1.345000,0.305430
1.346000,0.305351
1.347000,0.305272
1.348000,0.305192
1.349000,0.305113
1.350000,0.305034
1.351000,0.304955
1.352000,0.304876
1.353000,0.304797
1.354000,0.304718
1.355000,0.304640
1.356000,0.304561
1.357000,0.304482
1.358000,0.304403
1.359000,0.304325
1.360000,0.304246
1.361000,0.304168
1.362000,0.304089
1.363000,0.304011
1.364000,0.303933
1.365000,0.303854
1.366000,0.303776
1.367000,0.303698
1.368000,0.303620
1.369000,0.303542
1.370000,0.303464
1.371000,0.303386
1.372000,0.303308
1.373000,0.303230
1.374000,0.303152
1.375000,0.303075
1.376000,0.302997
1.377000,0.302919
1.378000,0.302842
1.379000,0.302764
1.380000,0.302687
1.381000,0.302609
1.382000,0.302532
1.383000,0.302455
1.384000,0.302377
1.385000,0.302300
1.386000,0.302223
1.387000,0.302146
1.388000,0.302069
1.389000,0.301992
1.390000,0.301915
1.391000,0.301838
1.392000,0.301761
1.393000,0.301684
1.394000,0.301608
1.395000,0.301531
1.396000,0.301454
