generation,alpha,evaluation_count,population_size
825,3.8283343628671176,78375,120
826,3.8391422137899442,78470,120
827,3.846436506434876,78565,120
828,3.8448508780987747,78660,120
829,3.8427491533442173,78755,120
830,3.838960038183163,78850,120
831,3.8396177106945428,78945,120
832,3.8404421169473761,79040,120
833,3.8379618444968755,79135,120
834,3.8382707777814309,79230,120
835,3.8409037145185496,79325,120
836,3.8354235503039438,79420,120
837,3.8348549725556715,79515,120
838,3.8291543175247313,79610,120
839,3.8286422328161684,79705,120
840,3.8263733145584613,79800,120
841,3.8292879442238115,79895,120
842,3.8327342625040295,79990,120
843,3.8408359976077007,80085,120
844,3.8376711040120193,80180,120
845,3.8381127002195785,80275,120
846,3.8371809304003603,80370,120
847,3.8365900827262225,80465,120
848,3.8361795645100587,80560,120
849,3.8373865049515712,80655,120
850,3.8379531259431312,80750,120
851,3.8403355552159204,80845,120
852,3.8405944432939503,80940,120
853,3.8386034041955575,81035,120
854,3.8419317268672164,81130,120
855,3.8366634575989806,81225,120
856,3.8366122540149292,81320,120
857,3.8360309013156129,81415,120
858,3.8324170498138539,81510,120
859,3.8358042032934763,81605,120
860,3.8316143998661385,81700,120
861,3.8238510161831902,81795,120
862,3.8215936920131739,81890,120
863,3.8219018172967396,81985,120
864,3.8171598438019125,82080,120
865,3.8167120045626386,82175,120
866,3.8340788462885937,82270,120
867,3.8391950665236276,82365,120
868,3.8356777059510381,82460,120
869,3.8352098468948643,82555,120
870,3.8316521714144032,82650,120
871,3.8269976842919036,82745,120
872,3.8249093075994649,82840,120
873,3.8248992863374762,82935,120
874,3.825405991587195,83030,120
